open,currentAccountsPayable,researchAndDevelopment,volume,propertyPlantEquipment,otherNonCurrentAssets,nonInterestIncome,dividendPayout,depreciationDepletionAndAmortization,ebitda,comprehensiveIncomeNetOfTax,depreciationAndAmortization,longTermDebtNoncurrent,totalRevenue,otherNonOperatingIncome,company,date,close
203.67,589000000,566000000,29871971,1746000000.0,1315000000,3544000000.0,361000000,66000000,951000000,675000000,34000000,8880000000.0,3492000000.0,12000000,ITW,3/31/2021,221.52
234.36,607000000,588000000,21734672,1767000000.0,1317000000,3676000000.0,360000000,70000000,947000000,823000000,32000000,8649000000.0,3624000000.0,22000000,ITW,6/30/2021,223.56
232.98,565000000,581000000,20851217,1744000000.0,1323000000,3556000000.0,359000000,70000000,889000000,591000000,34000000,8451000000.0,3507000000.0,10000000,ITW,9/30/2021,206.63
235.58,585000000,2356000000,20129551,1809000000.0,1405000000,3670000000.0,383000000,71000000,874000000,745000000,33000000,6909000000.0,3621000000.0,-48000000,ITW,12/31/2021,246.8
216.58,696000000,652000000,24201618,1795000000.0,1380000000,3939000000.0,382000000,71000000,944000000,693000000,49000000,6817000000.0,3891000000.0,14000000,ITW,3/31/2022,209.4
209.42,679000000,659000000,21967664,1736000000.0,1359000000,4011000000.0,380000000,69000000,984000000,532000000,58000000,6115000000.0,3964000000.0,24000000,ITW,6/30/2022,182.25
194.01,618000000,581000000,26250366,1705000000.0,1320000000,4011000000.0,377000000,69000000,1042000000,522000000,59000000,5940000000.0,3959000000.0,26000000,ITW,9/30/2022,180.65
229.75,594000000,1920000000,20450003,1848000000.0,1178000000,3964000000.0,403000000,67000000,1209000000,948000000,223000000,6173000000.0,3908000000.0,-65000000,ITW,12/30/2022,220.3
232.32,599000000,675000000,27990141,1885000000.0,1223000000,4020000000.0,400000000,68000000,1013000000,751000000,41000000,5510000000.0,3960000000.0,10000000,ITW,3/31/2023,243.45
219.02,590000000,690000000,21849636,1901000000.0,1252000000,4074000000.0,398000000,70000000,1060000000,738000000,30000000,6947000000.0,4005000000.0,20000000,ITW,6/30/2023,250.16
248.89,580000000,615000000,19407975,1904000000.0,1238000000,4031000000.0,396000000,70000000,1107000000,690000000,27000000,6818000000.0,3964000000.0,10000000,ITW,9/29/2023,230.31
241.725,581000000,284000000,18695196,1976000000.0,1262000000,3945000000.0,421000000,74000000,1096000000,785000000,99000000,6339000000.0,3875000000.0,-39000000,ITW,12/29/2023,261.94
261.74,597000000,676000000,33898905,1973000000.0,1290000000,7946000000.0,419000000,72000000,1240000000,769000000,97000000,6259000000.0,7875000000.0,16000000,ITW,3/28/2024,268.33
